252,252,251,254,254,249,250,255,255,253,248,248,248,
252,251,250,246,250,252,250,254,252,248,201,132,82,
252,251,251,251,253,253,254,217,181,138,73,50,66,
252,252,253,252,247,248,247,220,150,81,66,78,79,
255,252,254,250,217,169,142,93,74,74,77,80,75,
254,252,249,229,186,129,71,85,88,75,69,65,57,
252,254,216,167,134,96,86,91,78,64,66,66,59,
247,242,201,149,94,82,87,85,71,63,61,58,54,
221,209,149,104,94,82,74,73,71,67,64,63,56,
217,200,143,99,88,85,74,72,68,61,59,59,57,
227,208,151,89,66,72,76,74,65,59,60,58,57,
252,248,243,200,106,58,64,72,68,62,71,74,66,
247,254,248,249,241,173,78,82,88,75,79,85,82,
252,251,253,233,220,185,96,81,88,90,95,95,88,
252,251,248,205,155,109,88,86,88,92,96,93,86,
248,254,208,171,111,91,100,96,93,96,93,87,85,
245,254,186,159,105,105,108,99,94,96,88,81,83,
250,250,198,160,112,104,108,99,94,94,88,85,85,
255,249,200,145,116,109,111,99,94,93,89,88,85,
253,223,188,127,119,116,107,95,92,86,86,87,82,
251,188,182,122,131,119,106,93,88,79,74,73,73,
254,195,151,95,118,136,100,73,79,73,75,72,79,
254,245,227,166,122,133,119,90,88,86,87,77,78,
215,235,239,219,174,144,131,92,97,97,83,75,82,
227,247,217,175,149,137,144,99,113,117,97,86,85,
249,236,223,212,142,118,125,106,109,120,123,104,84,
253,247,241,217,147,116,108,103,102,115,128,113,95,
252,249,250,215,175,121,104,94,89,96,97,88,86,
255,253,216,152,100,73,111,92,85,92,97,89,92,
250,255,238,206,128,58,88,93,84,103,94,97,96,
251,255,251,255,215,181,87,104,93,97,96,97,92,
255,255,251,222,173,156,82,102,104,96,93,90,94,
250,250,254,237,192,146,60,88,105,100,105,95,89,
252,250,255,253,246,194,117,74,89,100,110,115,104,
251,251,250,251,251,240,224,101,90,106,122,117,111,
251,254,254,255,251,251,238,173,144,94,118,121,114,
254,254,253,255,250,253,228,191,148,60,36,33,36,
252,254,254,254,250,250,254,249,243,227,203,200,179,
250,251,252,251,249,249,255,251,251,254,246,251,254,
